gameID,Game,Played,Platform,ReleaseDate,Developer,Genre,Description,BoxArt,WikipediaPage,RelatedGames
1,Pac-Man,checked,"Wii,PC (Microsoft Windows),PC DOS,Commodore C64/128,Nintendo Entertainment System (NES),ZX Spectrum,MSX,Game Boy,Sega Game Gear,Xbox Live Arcade,Nintendo 3DS,Wii U,PlayStation Network,Virtual Console (Nintendo),Arcade,Mobile,Atari 8-bit,Atari 5200,Intellivision,Commodore VIC-20,Windows Phone,Apple II,Sharp X1,Neo Geo Pocket Color,PC-8801,Fairchild Channel F,Texas Instruments TI-99,PC-98,FM-7,NEC PC-6000 Series",1980-05-22,Namco Limited,"Puzzle,Strategy,Arcade",,https://images.igdb.com/igdb/image/upload/t_1080p/co1hvj.jpg,https://en.wikipedia.org/wiki/Pac-Man,"Super Mario Bros.,Dig Dug,Galaga,Galaxian,Ms. Pac-Man,Snack Attack,Pac-Man Championship Edition,Snack Attack II,Paku Paku,Cruncher"
2,Tetris,checked,"PC DOS,Mac,Commodore C64/128,Amiga,Nintendo Entertainment System (NES),Game Boy Color,ZX Spectrum,MSX,Sega Mega Drive/Genesis,Arcade,WonderSwan,Atari ST/STE,Sega Master System,BBC Microcomputer System,Commodore VIC-20,Apple II,Sharp X1",1984-12-31,Alexey Pajitnov,"Puzzle,Strategy,Arcade",,https://images.igdb.com/igdb/image/upload/t_1080p/co1hvk.jpg,https://en.wikipedia.org/wiki/Tetris,"Numba Deluxe,Rusty Lake Hotel,Rusty Lake: Roots,Quern - Undying Thoughts,Pikuniku,Injection,Invert - Tile Flipping Puzzles,One More Brick,Munchkin Match,Zombie Driver: Immortal Edition"
3,OutRun,checked,"PC DOS,Commodore C64/128,Amiga,Amstrad CPC,ZX Spectrum,MSX,Sega Mega Drive/Genesis,Sega Saturn,Sega Game Gear,Arcade,Atari ST/STE,Sega Master System,TurboGrafx-16/PC Engine",1986-09-25,Sega AM2,"Racing,Arcade",,https://images.igdb.com/igdb/image/upload/t_1080p/wikclvhxdsrgllhzqhfd.jpg,,"Need for Speed: Underground,Need for Speed: Underground 2,Need for Speed: Most Wanted,Need for Speed: Undercover,Gran Turismo,OutRun 2006: Coast 2 Coast,Wreckfest,Midnight Club 3: DUB Edition,Need for Speed: Carbon - Own the City,Zombie Driver: Immortal Edition"
4,Paperboy,checked,"PC DOS,Commodore C64/128,Amiga,Nintendo Entertainment System (NES),Game Boy Color,Amstrad CPC,ZX Spectrum,Sega Mega Drive/Genesis,Game Boy,Sega Game Gear,Arcade,Atari ST/STE,Sega Master System,BBC Microcomputer System,Apple II,Commodore 16,Commodore Plus/4,Apple IIGS,Acorn Electron",1985-12-31,Atari Games Corporation,"Racing,Simulator,Arcade",,https://images.igdb.com/igdb/image/upload/t_1080p/y1ad39sesw16yhq8w2zw.jpg,,"Wreckfest,Paperboy 2,Hurtworld,Human: Fall Flat,Drive Isle,Secret of Mana,Getting Over It with Bennett Foddy,Dude Simulator 2,GRID,Zombie Driver: Immortal Edition"
5,Space Harrier,checked,"Wii,PC DOS,Commodore C64/128,Amiga,Nintendo Entertainment System (NES),Amstrad CPC,ZX Spectrum,Sega 32X,Sega Saturn,Sega Game Gear,Arcade,Atari ST/STE,Sega Master System,Sharp X1,TurboGrafx-16/PC Engine,Sharp X68000,PC-8801,FM-7,NEC PC-6000 Series",1985-12-31,Elite Systems Ltd,Shooter,,https://images.igdb.com/igdb/image/upload/t_1080p/jj3psqxcwdq6ea8togkz.jpg,https://en.wikipedia.org/wiki/Space_Harrier,"Borderlands 3,Payday 3,RICO,Halo Infinite,Gears 5,Doom Eternal,Wolfenstein: Youngblood,Remnant: From the Ashes,Call of Duty: Mobile,Call Of Duty: Modern Warfare"
6,Double Dragon,checked,"Xbox 360,PC DOS,Commodore C64/128,Amiga,Nintendo Entertainment System (NES),Game Boy Advance,Amstrad CPC,ZX Spectrum,MSX,Sega Mega Drive/Genesis,Game Boy,Sega Game Gear,Arcade,Atari 2600,Atari 7800,Atari Lynx,Atari ST/STE,Sega Master System,Neo Geo MVS,Neo Geo AES,Neo Geo CD",1987-08-01,Technos Japan,"Fighting,Platform,Hack and slash/Beat 'em up,Arcade","The player takes control of martial artist Billy Lee, or his twin brother Jimmy (also known as Hammer and Spike in the supplementary materials for the American arcade release), as they fight their way into the turf of the Black Warriors gang in order to rescue their common love interest Marian.",https://images.igdb.com/igdb/image/upload/t_1080p/w1t5vvitjelnspq4rmy7.jpg,https://en.wikipedia.org/wiki/Double_Dragon,"Streets of Rage,Streets of Rage 2,Final Fight,Final Fight 2,Final Fight 3,Contra,Dragon Ball: Advanced Adventure,River City Ransom,Double Dragon 2: The Revenge,Double Dragon IV"
7,After Burner,checked,"Commodore C64/128,Amiga,Arcade,Sega Master System",1987-07-01,Sega AM2,"Shooter,Simulator,Arcade",,https://images.igdb.com/igdb/image/upload/t_1080p/da86yojgmrblhuxieuuc.jpg,https://en.wikipedia.org/wiki/After_Burner,"Breach & Clear,Starmade,Ace Combat 5: The Unsung War,Ace Combat 7: Skies Unknown,Escape From Tarkov,Miscreated,Black Squad,Girls' Frontline,Earth Defense Force: Iron Rain,Zombie Driver: Immortal Edition"
8,Double Dragon 2: The Revenge,checked,"Wii,PC DOS,Commodore C64/128,Amiga,Nintendo Entertainment System (NES),Amstrad CPC,ZX Spectrum,MSX,Sega Mega Drive/Genesis,Nintendo 3DS,Wii U,Arcade,Atari ST/STE,TurboGrafx-16/PC Engine",1988-12-31,Technos Japan,"Fighting,Hack and slash/Beat 'em up,Arcade","The arcade version of Double Dragon II: The Revenge begins with Marian, the damsel in distress from the original Double Dragon, being shot to death by the leader of the Black Warriors. Once again, the players assume the role of brothers Billy and Jimmy Lee, who are now tasked with the duty of avenging Marian's death.",https://images.igdb.com/igdb/image/upload/t_1080p/mjriph67ihwncvpgnfn4.jpg,http://en.wikipedia.org/wiki/Double_Dragon_II:_The_Revenge,"Streets of Rage,Final Fight,Final Fight 2,Final Fight 3,Dragon Ball: Advanced Adventure,River City Ransom,Double Dragon,Double Dragon IV,Brawlout,Double Dragon III: The Sacred Stones"
9,SimCity,checked,"Wii,PC (Microsoft Windows),PC DOS,Mac,Commodore C64/128,Amiga,Super Nintendo Entertainment System (SNES),Amstrad CPC,ZX Spectrum,Virtual Console (Nintendo),Atari ST/STE,BBC Microcomputer System,Acorn Archimedes,FM Towns,Sharp X68000,Acorn Electron,PC-98",1989-10-03,Maxis,"Simulator,Strategy",,https://images.igdb.com/igdb/image/upload/t_1080p/zstbtknsspigdjtul0uu.jpg,https://en.wikipedia.org/wiki/SimCity_(1989_video_game),"SimCity,Banished,Cities: Skylines,RimWorld,Urban Empire,Imperium Romanum,Startup Company,Software Inc.,TransOcean: The Shipping Company,Mashinky"
10,The NewZealand Story,checked,"Commodore C64/128,Amiga,Nintendo Entertainment System (NES),Amstrad CPC,ZX Spectrum,Sega Mega Drive/Genesis,Arcade,Atari ST/STE,Sega Master System,TurboGrafx-16/PC Engine,FM Towns,Sharp X68000",1988-12-31,Taito Corporation,"Shooter,Platform",,https://images.igdb.com/igdb/image/upload/t_1080p/wy8ixgzyxz4coqrjl4rl.jpg,https://en.wikipedia.org/wiki/The_NewZealand_Story,"Super Mario World,Superfighters Deluxe,RICO,Halo Infinite,Gears 5,Doom Eternal,Wolfenstein: Youngblood,Remnant: From the Ashes,Call of Duty: Mobile,Super Mario Maker 2"
11,The Secret of Monkey Island,checked,"PC DOS,Mac,Amiga,Atari ST/STE,Sega CD,FM Towns",1990-10-01,Lucasfilm Games,"Point-and-click,Puzzle,Adventure","Guybrush Threepwood, a young man with desires to become a mighty pirate, travels to Melee Island, a pirate haven. Upon arrival he meets three "" important looking pirates"" in the SCUMM Bar who set him three challenges to test his worthiness. These entail defeating the legendary insult sword fighting master Carla, finding buried treasure and stealing a statue from the governors mansion. During a botched break-in to the mansion he meets and subsequently falls in love with the governor Elaine Marley. Elsewhere the ghost pirate LeChuck is seen pining after the love of his life, the same Elaine Marley, and hatches a plan to capture her. While Guybrush is busy finishing the trials LeChuck and his ghost pirate crew abduct her and take her to Monkey Island. Upon completing the trials Guybrush discovers this revelation, purchases a ship from Stan, a used ship salesman who informs him the ship requires a crew of four people. After gathering Carla, the sword fighting Master he had previously defeated, Meathook, a pirate with two hooks replacing his hands, and Otis a prisoner in Melee Island's Prison Guybrush and crew set sail in pursuit to rescue her.",https://images.igdb.com/igdb/image/upload/t_1080p/co28bp.jpg,https://en.wikipedia.org/wiki/The_Secret_of_Monkey_Island,"Monkey Island 2: LeChuck's Revenge,Myst,Masochisia,Rusty Lake Hotel,Gibbous - A Cthulhu Adventure,Rusty Lake: Roots,The Room: Old Sins,The Darkside Detective,Sky: Children of the Light,A Fisherman's Tale"
