movieID,Movie,Watched,ReleaseDate,Popularity,Genre,Synopsis,Director,IMDB_Rating,Poster,ID,IMDB_ID,IMDB_Page
1,The Shining,checked,1980-05-23,33.386,"Horror,Thriller","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",,,https://image.tmdb.org/t/p/original//5xcXvTErivIgRchsaw9qaT3NflE.jpg,694,,
2,The Blues Brothers,checked,1980-06-17,24.144,"Action,Comedy,Crime,Music","Jake Blues is just out of jail, and teams up with his brother, Elwood on a 'mission from God' to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best: play music. So they get their old band together, and set out on their way—while getting in a bit of trouble here and there.",,,https://image.tmdb.org/t/p/original//3DiSrcYELCLkwnjl9EZp2pkKGep.jpg,525,,
3,The Empire Strikes Back,checked,1980-05-20,24.042,"Action,Adventure,Science Fiction","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",,,https://image.tmdb.org/t/p/original//7BuH8itoSrLExs2YZSsM01Qk2no.jpg,1891,,
4,Superman II,checked,1980-12-04,17.901,"Action,Adventure,Science Fiction","Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.",,,https://image.tmdb.org/t/p/original//r9ZRah6rYBoRuPyj8g5Ei411XNM.jpg,8536,,
5,The Elephant Man,checked,1980-10-02,17.882,"Drama,History","A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",,,https://image.tmdb.org/t/p/original//19Hc54ebzdvF3usVEmyn948U4Xr.jpg,1955,,
6,Raging Bull,checked,1980-11-14,16.665,Drama,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",,,https://image.tmdb.org/t/p/original//rEviyDWNbAFmvvCPlkMRPAGUElG.jpg,1578,,
7,Flash Gordon,checked,1980-09-01,13.79,Science Fiction,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth.",,,https://image.tmdb.org/t/p/original//jXGq8xT5okT3ZyZ1J04X5tqsi6u.jpg,3604,,
8,Popeye,checked,1980-12-12,11.525,"Action,Adventure,Comedy,Family","Popeye is a super-strong, spinach-scarfing sailor man who's searching for his father. During a storm that wrecks his ship, Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive. Before he can win her heart, he must first contend with Olive's fiancé, Bluto.",,,https://image.tmdb.org/t/p/original//kK6p6ax8d9oKOso5xil1B4e0arj.jpg,11335,,
9,Raiders of the Lost Ark,checked,1981-06-12,23.696,"Action,Adventure","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",,,https://image.tmdb.org/t/p/original//awUGN7ZCNq2EUTdpVaHDX23anOZ.jpg,85,,
10,For Your Eyes Only,checked,1981-06-23,23.164,"Adventure,Action,Thriller",A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,,,https://image.tmdb.org/t/p/original//rIbhuS2xBHDYWAriFxLABlK2LZV.jpg,699,,
