placeID,Place,City,Postcode,FirstMemory,LastMemory,Location,Notes,mems,unsortedMems
1,Queen Elizabeth Hospital,Birmingham,B152TH,1980-06-26,1980-06-26,google.co.uk/maps?q=B152TH,,"1,7",
2,27 Farquhar Road,Birmingham,B153RA,1980-06-26,,google.co.uk/maps?q=B153RA,,"2,3,5,8,64,63,62,61,60,59,58,57,56,55,54,53,52,50,51,49,48,46,41,40,38,37,36,35,34,32,31,30,29,28,26,23,20,18,16,14,12,10,21,6,4,11","Repton,The larder,The pantry,The playroom,The garage loft,My bedroom,Bike ramps,Police fields,‘Digging’,Mum tells us she's leaving Dad,The Junk Room,Privateer"
3,Springfield Nursery,Birmingham,,,,,,,
4,Hallfield School,Birmingham,B153SJ,,,google.co.uk/maps?q=B153SJ,,,Peter McCormack
5,Abberley Hall School,Worcester,WR66DD,,,google.co.uk/maps?q=WR66DD,,,"Tom Richardson,Faraz Tasnim,James Robbins,Charlie Predendergast"
6,Radley College,Abingdon,OX142HR,2020-06-19,,google.co.uk/maps?q=OX142HR,,,"Jonny Butler,Johnny Margoriam?,Henry Baggott,Archie Mackie,Steve Jones,Alistair Mitchell-Innes,Will Bean,Sam Fletcher,Jumping off bridge into river,Driving Dad back drunk,Rowing,Euro 1996"
7,Southwark Hall,Nottingham,NG81BB,,,google.co.uk/maps?q=NG81BB,,,
8,241 Derby Road,Nottingham,NG71QN,,,google.co.uk/maps?q=NG71QN,,,
9,38 Johnson Road,Nottingham,NG72BX,,,google.co.uk/maps?q=NG72BX,,,
10,201 Dawes Road,London,SW67QY,,,google.co.uk/maps?q=SW67QY,,39,
11,24 Denton House,London,N12EU,2003-07-01,,google.co.uk/maps?q=N12EU,,47,
12,Flat 1 - 45 Garratt Terrace,London,SW170QE,,,google.co.uk/maps?q=SW170QE,,,
13,121A Bellenden Road,London,SE154QY,,,google.co.uk/maps?q=SE154QY,,,
14,108 Hardy Road,London,SW191HZ,,,google.co.uk/maps?q=SW191HZ,,,
15,43 Hotham Road,London,SW191BS,,,google.co.uk/maps?q=SW191BS,,,
16,41 Grove Avenue,London,TW14HX,,,google.co.uk/maps?q=TW14HX,,,
17,Holly Cottage,Balcombe,RH176NP,,,google.co.uk/maps?q=RH176NP,,,
18,Blackthorn,Balcombe,RH176LN,,,google.co.uk/maps?q=RH176LN,,,"The Leftovers,Half-Life: Alyx"
19,Little Meadows,Balcombe,RH176LL,,,google.co.uk/maps?q=RH176LL,,,
20,53 Melville Road,Birmingham,B169JR,,,google.co.uk/maps?q=B169JR,,,
21,23 Boundary Drive,Birmingham,,,,,,,
22,Danny House,Hurstpierpoint,BN69BB,,,google.co.uk/maps?q=BN69BB,,,
23,Tiverton Swimming Baths,Birmingham,B296BU,,,google.co.uk/maps?q=B296BU,,,"Tiverton Swimming Baths,Fish & chips after swimming"
24,Edgbaston High School for Girls,Birmingham,B153TS,,,google.co.uk/maps?q=B153TS,,,Sneaking to shop to buy chocolate before swimming
25,Reading Festival,Reading,RG301LQ,1996-08-23,1996-08-25,google.co.uk/maps?q=RG301LQ,,33,
26,St. Paul’s Cathedral,London,EC4M8AD,,,google.co.uk/maps?q=EC4M8AD,,,Elbow Gig
27,Virgin Radio,London,W1F9DJ,,,google.co.uk/maps?q=W1F9DJ,,,Razorlight Live
28,All Bar One,Wimbledon,SW197NA,,,google.co.uk/maps?q=SW197NA,,42,
29,Mediacom,London,WC1X8RX,,,google.co.uk/maps?q=WC1X8RX,,,"Chris Binns,James Atherton,Helen,Gemma,Luke Talibadeen,Mikki Sandhu,Adam,Hannah Laird,Simone Galletly,Jules"
30,FLE,London,,,,,,,
31,Havas Media,London,,,,,,,
32,Warrior Finance,Sevenoaks,,,,,,,
33,Annalect,London,,,,,,,
34,Beavers,Birmingham,B152UJ,,,google.co.uk/maps?q=B152UJ,,,
35,Cubs,Birmingham,B152UJ,,,google.co.uk/maps?q=B152UJ,,,
36,Perros-Guirec - Residence Le Casino,Brittany,,,,,,,"Getting cross at losing cards,Playing at the arcade,Skateboarding,Bodyboarding,Rock Jumping"
37,Birmingham Wheels,Birmingham,B81AD,,,google.co.uk/maps?q=B81AD,,24,
38,Court Barton,Devon,TQ73EH,,,google.co.uk/maps?q=TQ73EH,,,
39,Oakey Orchard,Metherell,PL178DN,2003-04-25,,google.co.uk/maps?q=PL178DN,,44,
40,Tate Modern,London,SE19TG,,,google.co.uk/maps?q=SE19TG,,43,
