tvshowID,TVShow,Watched,ReleaseDate,Popularity,CountryOfOrigin,Genre,Creator,Synopsis,Poster,ID,WikipediaPage
1,"Magnum, P.I.",checked,1980-12-11,36.535,US,"Drama,Action & Adventure",,"Magnum, P.I. is an American television series starring Tom Selleck as Thomas Magnum, a private investigator living on Oahu, Hawaii. The series ran from 1980 to 1988 in first-run broadcast on the American CBS television network.

According to the Nielsen ratings, Magnum, P.I. consistently ranked in the top twenty U.S. television programs during the first five years that the series was originally broadcast in the United States. Originally appearing in a prime time American network timeslot of 8 p.m. Eastern on Thursdays, Magnum, P.I. was one of the highest-rated shows on U.S. television.",https://image.tmdb.org/t/p/original//ApK40FQkl2YN09nBGgJGflEI3Ho.jpg,734,
2,The Smurfs,checked,1981-09-12,48.676,BE,"Animation,Family,Kids,Sci-Fi & Fantasy",,"Classic Saturday-morning cartoon series featuring magical blue elf-like creatures called Smurfs. The Smurfs, named for their personalities, inhabit a village of mushroom houses in an enchanted forest. These loveable creatures are led by Papa Smurf and live carefree... except for one major threat to their existance: Gargamel, an evil but inept wizard who lives in a stone-built house in the forest; and his feline companion, the equally nasty Azrael. ",https://image.tmdb.org/t/p/original//tYxM9N6JcINKPzAxNqjlpUq9eU3.jpg,5687,
3,The Fall Guy,checked,1981-11-04,17.091,US,Action & Adventure,,Hollywood stuntman Colt Seavers picks up some extra pocket money by using his rough-and-tumble skills to track and capture bail jumpers.,https://image.tmdb.org/t/p/original//tPy5fmJZ2AHJKJLq8uabIxhbYWn.jpg,5031,
4,Only Fools and Horses,checked,1981-09-08,11.482,GB,Comedy,,The misadventures of two wheeler dealer brothers Del Boy and Rodney Trotter of “Trotters Independent Traders PLC” who scrape their living by selling dodgy goods believing that next year they will be millionaires.,https://image.tmdb.org/t/p/original//fAFPAdUiOecSJYnI09pLq6KLFNW.jpg,72,
5,Danger Mouse,checked,1981-09-28,11.035,GB,"Animation,Comedy",,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",https://image.tmdb.org/t/p/original//vYVPX2cZOWBWvBalbJZIPPZB8rZ.jpg,3474,
6,Bergerac,checked,1981-10-18,10.122,GB,Drama,,"Bergerac is a British television show set on Jersey. Produced by the BBC in association with the Seven Network, and first screened on BBC1, it stars John Nettles as the title character Detective Sergeant Jim Bergerac, a detective in Le Bureau des Étrangers, part of the States of Jersey Police.",https://image.tmdb.org/t/p/original//rmkzmJKhv1mNS89y0ZkSx2BPimf.jpg,1596,
7,Postman Pat,checked,1981-09-16,9.524,GB,"Animation,Kids",,Pat and his black-and-white cat Jess deliver the mail in Greendale.,https://image.tmdb.org/t/p/original//gfBUntQ7m2VeDupfMXkTM6BFABB.jpg,1588,
8,Knight Rider,checked,1982-09-26,34.876,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",https://image.tmdb.org/t/p/original//6bMDVhGSrXXmKPw4MhHIZf6wQ5Y.jpg,2384,
9,The Mysterious Cities of Gold,checked,1982-06-29,13.517,FR,"Animation,Action & Adventure,Kids",,The adventures of a young Spanish boy named Esteban who joins a voyage to the New World in search of the lost Cities of Gold and his father.,https://image.tmdb.org/t/p/original//teITE9N4ZlciNSkigrI0RvtWZs.jpg,11285,
10,The A-Team,checked,1983-01-23,31.443,US,Action & Adventure,,"The A-Team is an American action-adventure television series, running from 1983 to 1987, about a fictional group of ex United States Army Special Forces personnel who work as soldiers of fortune, while on the run from the Army after being branded as war criminals for a ""crime they didn't commit"".",https://image.tmdb.org/t/p/original//g0BmuMvzzlqO75iri3vkUNLM4LI.jpg,1516,
11,He-Man and the Masters of the Universe,checked,1983-09-05,23.522,US,"Animation,Action & Adventure,Sci-Fi & Fantasy",,"When Adam, Prince of the planet Eternia, raises his magic sword he transforms into He-Man (the most powerful man in the universe).  With his allies and friends, he battles the evil Skeletor and his minions to protect the secrets of Castle Greyskull.",https://image.tmdb.org/t/p/original//omwfYtYuz67f5cyYqh7CvfqkpO3.jpg,931,
12,Inspector Gadget,checked,1983-09-10,19.967,US,"Animation,Comedy",,"Inspector Gadget is a clumsy, dim-witted human cyborg detective with various bionic gadgets built into his body. Gadget stumbles around working the cases while his niece and dog do most of the investigating. Gadget's arch-nemesis is Dr. Claw, the leader of an evil organisation, known as ""M.A.D.""",https://image.tmdb.org/t/p/original//ayYkEcvuArO5mpI4Dxnqq3Z5WEQ.jpg,4035,
13,Alvin and the Chipmunks,checked,1983-09-17,17.477,US,"Animation,Comedy,Family",,"Alvin and the Chipmunks is an American animated television series featuring The Chipmunks, produced by Bagdasarian Productions in association with Ruby-Spears Enterprises from 1983–87, and DIC Entertainment from 1988–90.

It aired from 1983 to 1990 on NBC and is the follow-up to the original 1961–62 series, The Alvin Show. The show introduced The Chipettes, three female Chipmunks with their own human caretaker, Miss Beatrice Miller. In 1988, the show switched production companies to DiC Enterprises and was renamed just The Chipmunks.

In 1987, during the show's fifth season, the Chipmunks' first animated feature film, The Chipmunk Adventure, was released to theaters by The Samuel Goldwyn Company. The film was directed by Janice Karman and featured the Chipmunks and Chipettes in a contest traveling around the world. In its eighth and final season, the show again switched titles to The Chipmunks Go to the Movies. Each episode was a spoof of a Hollywood film like Back to the Future or King Kong. Several television specials featuring the characters were also released. In 1990, the special Rockin' Through the Decades was produced. That year, the Chipmunks also teamed up with other well-known cartoon characters for the drug abuse-prevention special Cartoon All-Stars to the Rescue.",https://image.tmdb.org/t/p/original//rmx8Khnutah9dnbpkYjJZSMzSID.jpg,2160,
14,Fraggle Rock,checked,1983-01-10,14.74,CA,"Family,Kids,Sci-Fi & Fantasy",,"The Fraggles are a fun-loving community of creatures who live in a subterranean fantasy land where they love to play, sing and dance their cares away, sharing their world with the tiny Doozers and the giant Gorgs. The series teaches empathy and tolerance and encourages children to understand people different from themselves.",https://image.tmdb.org/t/p/original//nyvNej9aHC2wydFflPMrASS6MF7.jpg,2957,
15,Blackadder,checked,1983-06-15,11.851,GB,"Comedy,War & Politics",,"Through four series and a few specials, Edmund Blackadder and his greasy sidekick Baldrick conjure up cunning plans as Edmund tries to take advantage of desperate times. These situation tragedies had obvious parallels from the Dark Ages to Elizabethan times, the rule of mad George III, and The Great War.",https://image.tmdb.org/t/p/original//y3rXOeklqhZ7BTBveW5WLJqyjgU.jpg,7246,
